nodeId,slug,name,color
3,googlecalendar,Google Calendar,1A73E8
3,googlesheets,Google Sheets,0F9D58
3,stripe,Stripe,635BFF
3,github,GitHub,181717
3,gmail,Gmail,EA4335

